id_pedido,data_pedido,categoria,preco,custo_produto,quantidade,metodo_pagamento,dias_de_entrega,retornou,total,frete,idade_do_cliente,nota_avaliacao,estado
O100517,2025-09-11,Alimentos,172.36,69.76,1,Cartão de Crédito,4,Não,172.36,10.36,22,4,RJ
O100965,2025-09-11,Alimentos,16.35,10.22,1,Pix,10,Não,16.35,6.75,44,1,RN
O101297,2025-09-11,Vestuário,83.16,56.98,1,Pix,5,Não,83.16,7.64,32,3,SC
O102706,2025-09-11,Vestuário,224.96,126.81,1,Pix,4,Não,202.46,7.64,41,5,RS
O103850,2025-09-11,Brinquedos,8.62,5.67,2,Pix,2,Não,16.38,5.48,33,5,SP
O105122,2025-09-11,Alimentos,12.86,6.73,2,Cartão de Débito,3,Não,25.72,8.28,44,4,SP
O105703,2025-09-11,Vestuário,70.81,23.7,3,Pix,4,Não,212.43,8.81,26,4,SP
O105972,2025-09-11,Beleza,31.67,20.61,1,Cartão de Débito,6,Não,28.5,7.8,34,5,DF
O106041,2025-09-11,Eletrônicos,288.64,185.45,1,Cartão de Débito,6,Não,259.78,11.99,43,4,RS
O106902,2025-09-11,Esportes,326.24,145.45,2,Cartão de Crédito,4,Não,652.48,14.19,41,3,SC
O107223,2025-09-11,Eletrônicos,472.21,175.85,2,Pix,2,Não,755.54,8.56,24,5,SP
O107847,2025-09-11,Beleza,21.68,14.44,1,Pix,8,Não,21.68,2.52,47,5,SE
O108509,2025-09-11,Vestuário,15.25,9.52,2,Cartão de Crédito,9,Não,27.45,07.02,36,5,PE
O108983,2025-09-11,Alimentos,27.06,14.38,2,Cartão de Crédito,2,Sim,54.12,7.6,32,5,SP
O109435,2025-09-11,Eletrônicos,270.68,102.73,1,Pix,2,Não,257.15,11.5,22,4,SP
O109850,2025-09-11,Brinquedos,25.34,14.0,1,Pix,4,Sim,25.34,2.66,40,4,SP
O111613,2025-09-11,Moradia,203.21,86.45,1,Cartão de Débito,3,Não,182.89,8.83,51,5,SP
O112768,2025-09-11,Esportes,92.34,48.05,2,Cartão de Crédito,4,Não,175.45,15.54,42,4,MG
O113218,2025-09-11,Brinquedos,73.3,43.49,4,Pix,4,Não,278.54,11.43,42,5,RJ
O114109,2025-09-11,Alimentos,12.21,6.35,1,Cartão de Débito,3,Não,12.21,4.35,29,5,SP
O116115,2025-09-11,Moradia,84.4,41.96,1,Cartão de Crédito,4,Não,84.4,8.51,29,5,RS
O116772,2025-09-11,Brinquedos,119.49,79.2,1,Cartão de Débito,3,Não,107.54,8.77,38,5,SP
O118073,2025-09-11,Esportes,221.35,114.71,1,Cartão de Crédito,5,Sim,221.35,08.05,38,3,SP
O119068,2025-09-11,Moradia,252.56,110.2,1,Pix,2,Não,252.56,9.67,35,5,RJ
O119175,2025-09-11,Eletrônicos,171.39,76.3,5,Cartão de Crédito,3,Não,814.1,12.77,27,4,RJ
O120074,2025-09-11,Vestuário,98.88,69.1,2,Cartão de Crédito,9,Não,197.76,11.41,34,4,CE
O120151,2025-09-11,Esportes,105.57,35.83,1,Cartão de Crédito,3,Não,89.73,10.81,40,5,SP
O121285,2025-09-11,Esportes,227.67,134.08,3,Cartão de Débito,5,Não,683.01,11.52,28,5,MG
O122698,2025-09-11,Eletrônicos,2355.5,1064.77,1,Pix,4,Não,2355.5,12.72,27,5,RS
O122768,2025-09-11,Esportes,241.51,131.69,2,Pix,2,Não,434.72,12.19,39,5,SP
O123199,2025-09-11,Alimentos,10.33,5.31,1,Pix,6,Não,10.33,5.43,30,5,RS
O123236,2025-09-11,Brinquedos,35.55,13.66,1,Pix,3,Sim,35.55,4.67,51,5,SP
O124635,2025-09-11,Esportes,274.28,126.14,1,Cartão de Débito,4,Não,233.14,15.23,53,4,SP
O125405,2025-09-11,Moradia,458.6,260.57,2,Cartão de Crédito,7,Não,917.2,11.78,41,3,RN
O126094,2025-09-11,Esportes,68.6,40.41,1,Pix,10,Não,68.6,9.41,28,1,SE
O126316,2025-09-11,Esportes,88.65,35.54,3,Cartão de Crédito,11,Não,239.36,9.38,28,1,PE
O126554,2025-09-11,Alimentos,24.34,11.07,1,Cartão de Débito,5,Não,24.34,08.02,18,4,SP
O126833,2025-09-11,Vestuário,58.88,29.1,1,Cartão de Crédito,2,Não,58.88,9.36,25,5,SP
O128123,2025-09-11,Beleza,127.5,89.07,1,Cartão de Crédito,5,Não,127.5,13.42,38,4,PR
O128190,2025-09-11,Moradia,429.7,272.89,1,Pix,2,Não,386.73,13.77,43,5,RJ
O128499,2025-09-11,Eletrônicos,3108.18,1012.26,1,Pix,4,Não,3108.18,19.44,43,5,SP
O128948,2025-09-11,Beleza,18.22,12.51,1,Cartão de Crédito,4,Sim,17.31,5.36,46,3,MG
O130070,2025-09-11,Vestuário,195.17,65.66,2,Cartão de Crédito,2,Não,390.34,8.72,47,5,SP
O130125,2025-09-11,Vestuário,210.28,128.83,1,Cartão de Crédito,8,Não,210.28,11.26,39,4,PA
O131622,2025-09-11,Moradia,49.77,33.18,1,Pix,3,Não,49.77,5.32,24,4,SP
O132381,2025-09-11,Esportes,51.14,17.59,1,Pix,4,Não,51.14,4.82,28,4,PR
O133957,2025-09-11,Moradia,285.78,178.16,1,Pix,3,Não,285.78,11.71,28,5,SP
O134227,2025-09-11,Beleza,64.97,26.08,1,Cartão de Débito,3,Não,64.97,6.0,30,4,MG
O134499,2025-09-11,Moradia,159.2,82.83,1,Cartão de Débito,3,Não,159.2,12.56,43,4,MG
O102737,2025-09-10,Esportes,463.86,152.94,1,Cartão de Crédito,2,Não,417.47,7.74,38,5,SP
O102888,2025-09-10,Esportes,1374.66,624.9,1,Pix,13,Não,1168.46,13.02,43,1,SE
O105224,2025-09-10,Beleza,22.4,10.92,2,Pix,10,Não,44.8,5.78,23,1,BA
O105554,2025-09-10,Vestuário,11.16,3.92,4,Pix,10,Sim,44.64,5.9,26,1,PB
O106219,2025-09-10,Esportes,219.84,106.2,1,Cartão de Crédito,5,Não,219.84,11.24,55,3,ES
O106443,2025-09-10,Vestuário,38.47,20.65,1,Pix,4,Não,38.47,8.97,33,3,RS
O107040,2025-09-10,Alimentos,46.79,24.66,3,Cartão de Crédito,5,Não,140.37,7.67,38,5,MT
O108154,2025-09-10,Eletrônicos,880.69,518.77,1,Cartão de Débito,1,Não,748.59,12.44,42,5,SP
O109748,2025-09-10,Brinquedos,13.93,9.64,1,Boleto,4,Não,13.93,5.1,18,4,SP
O111813,2025-09-10,Esportes,293.24,182.52,5,Pix,2,Sim,1466.2,20.42,30,5,SP
O112710,2025-09-10,Eletrônicos,1062.12,725.68,3,Cartão de Crédito,3,Não,3027.04,15.73,18,5,SP
O114114,2025-09-10,Moradia,119.77,58.29,1,Pix,2,Não,119.77,9.62,18,4,RJ
O114313,2025-09-10,Moradia,332.0,220.77,1,Cartão de Débito,3,Não,332.0,9.97,35,5,SP
O114622,2025-09-10,Vestuário,128.11,39.85,1,Cartão de Débito,12,Não,121.7,8.95,34,2,PE
O115374,2025-09-10,Eletrônicos,1505.01,991.14,1,Pix,3,Não,1429.76,15.47,36,4,RJ
O115533,2025-09-10,Vestuário,210.99,91.92,1,Pix,2,Não,147.69,7.36,43,4,SP
O116657,2025-09-10,Brinquedos,137.98,90.79,1,Pix,2,Não,137.98,7.1,28,5,MG
O117102,2025-09-10,Brinquedos,38.92,16.11,1,Pix,3,Não,38.92,9.26,24,4,SP
O117322,2025-09-10,Esportes,305.58,139.9,1,Cartão de Crédito,11,Não,244.46,10.87,35,2,CE
O117479,2025-09-10,Eletrônicos,663.68,417.01,1,Pix,3,Sim,663.68,11.3,41,5,SP
O118030,2025-09-10,Eletrônicos,2576.06,1294.98,1,Pix,8,Não,2576.06,16.86,31,3,AP
O118533,2025-09-10,Moradia,108.24,67.86,1,Pix,11,Não,97.42,10.45,28,2,BA
O118558,2025-09-10,Moradia,188.72,125.5,4,Cartão de Crédito,3,Não,754.88,19.61,33,5,SP
O118580,2025-09-10,Moradia,146.11,67.86,2,Cartão de Crédito,2,Não,263.0,08.01,18,4,SP
O119229,2025-09-10,Eletrônicos,1024.78,576.35,1,Cartão de Débito,11,Não,1024.78,11.59,35,2,PE
O119819,2025-09-10,Alimentos,44.08,19.23,2,Cartão de Crédito,4,Não,88.16,6.77,22,3,SC
O120551,2025-09-10,Moradia,251.77,75.66,1,Pix,5,Não,251.77,13.36,35,3,SC
O120997,2025-09-10,Alimentos,36.0,17.24,1,Cartão de Crédito,11,Não,36.0,8.74,29,1,BA
O121697,2025-09-10,Alimentos,13.08,7.58,1,Cartão de Débito,4,Não,11.12,6.39,35,4,SP
O123036,2025-09-10,Alimentos,17.14,10.52,1,Pix,4,Não,17.14,5.15,34,4,RJ
O123366,2025-09-10,Moradia,752.64,273.52,2,Cartão de Crédito,3,Não,1505.28,17.66,25,5,SP
O124539,2025-09-10,Vestuário,50.55,29.76,1,Cartão de Débito,5,Não,42.97,09.03,30,5,DF
O124953,2025-09-10,Vestuário,155.28,83.66,1,Cartão de Crédito,5,Não,155.28,12.18,31,5,RS
O125754,2025-09-10,Vestuário,291.34,99.58,1,Pix,4,Não,247.64,10.56,38,5,SP
O125872,2025-09-10,Vestuário,30.91,9.81,1,Cartão de Débito,3,Não,30.91,8.46,29,5,SP
O126066,2025-09-10,Vestuário,209.66,110.12,1,Cartão de Débito,2,Não,209.66,12.34,41,5,SP
O126279,2025-09-10,Vestuário,266.47,119.55,1,Pix,2,Não,239.82,13.37,29,5,SP
O126516,2025-09-10,Vestuário,134.36,85.77,4,Pix,6,Não,483.7,8.82,28,3,SC
O127596,2025-09-10,Moradia,472.22,248.92,2,Cartão de Débito,4,Não,944.44,9.96,36,5,PR
O128274,2025-09-10,Eletrônicos,179.91,86.52,1,Pix,5,Não,170.91,10.71,48,4,ES
O128742,2025-09-10,Alimentos,18.93,10.63,2,Cartão de Crédito,3,Não,30.29,5.52,42,5,MG
